id_child,treatment,totalscore_all
"1013101",1,-.5446162
"1013201",1,.1030698
"1018101",0,-.0514774
"1018201",1,-.4037182
"1018301",0,.5112138
"1023101",0,.6693662
"1023201",1,.3095105
"1023202",1,-.1073985
"1044101",0,.0340436
"1044201",0,-.4603642
"1047101",1,.7695931
"1047202",1,-.3802724
"1047301",0,.4164845
"1047401",0,-1.048498
"1213101",0,1.084203
"1213301",1,-.8825675
"1213401",0,.0528473
"1221101",1,1.19115
"1221201",1,.1971882
"1221301",1,-.9492977
"1222101",0,.5481015
"1223101",0,-.8522279
"1223301",0,-.2155144
"1244101",0,.8203366
"1244201",0,.7804524
"1244301",1,.3409749
"1244401",1,-1.093064
"1247101",1,.3149153
"1313301",0,-.696084
"1318301",1,.1364491
"1318401",1,-.9445356
"1321301",1,.2231846
"1323301",1,-.2590365
"1344101",1,-.1703611
"1344201",0,.0907295
"1344301",0,-.3497806
"1347201",0,.5034285
"1413101",0,.1798124
"1413201",0,.4467121
"1418101",1,-.0371136
"1418201",0,.5462968
"1418301",0,-.1153862
"1418501",1,-.3636495
"1421101",1,-.0336737
"1421201",1,-.9004536
"1423101",0,-.148265
"1423201",1,-.3754793
"1423301",0,-.3027654
"1444101",1,.3864067
"1444201",1,-.5269208
"1444301",0,-.2517291
"1447101",1,-1.115347
"1447201",0,-.0629081
"1513201",1,.2188571
"1518101",1,-.4100025
"1544101",0,.1842803
"1547101",0,.0949563
"1613101",0,-.0815811
"1613201",0,.5579435
"1613301",0,.0257025
"1618101",1,.1333136
"1618201",0,.2086688
"1618301",1,-.917536
"1618401",0,.0138367
"1621101",0,-.0242812
"1623101",0,.6064166
"1623201",1,.7530952
"1644101",1,-.1120711
"1644201",0,-.5637432
"1647101",1,.6033282
"1647201",1,.1154662
"1647401",1,.2114967
"1647502",1,.439974
"1714101",1,-.1813524
"1732101",0,-.4058701
"1732201",0,-.0376409
"1732301",0,-.7600464
"1736101",0,-.7598389
"1736201",1,.5082911
"1736301",0,-.6376474
"1745101",1,-.0399236
"1745201",0,-.4590113
"1745301",1,-.5141842
"1745401",1,-1.070781
"1745501",1,.3619841
"1914101",0,-.0325373
"1914201",0,.6472387
"1925101",0,-.5836334
"1925201",1,.6229672
"1925301",1,.2852223
"1930101",0,.9087978
"1930201",1,1.165336
"1932101",1,-1.048498
"1932201",0,-.3475739
"1932301",1,-.6645099
"1936101",1,.2661125
"1936201",0,.0175891
"1936301",0,.7415426
"1945101",1,-.1794939
"1945201",0,.2922326
"2128101",1,-.2575344
"2128201",1,.4292587
"2128301",1,.4895002
"2134101",0,-.1811513
"2134201",0,.573478
"2134301",1,-1.026214
"2134401",0,.0063629
"2146101",0,-.0727676
"2146201",0,-.0699183
"2146301",0,.0552157
"2146401",0,.256968
"2146501",1,.433391
"2150101",1,-1.115347
"2150201",1,-.6447346
"2150301",0,-.6872753
"2226101",0,-1.084731
"2226201",0,1.572311
"2226301",1,1.011199
"2226401",1,.8520187
"2228101",0,.868542
"2228201",1,.7898089
"2228301",0,.7808912
"2231101",1,.4187379
"2231201",1,.4400411
"2250101",0,.2205645
"2312101",1,1.339147
"2312201",1,-.6622037
"2312301",1,.1727541
"2326101",0,1.349476
"2326201",1,.302376
"2326301",1,.7350659
"2326401",0,1.038842
"2331101",0,.7900297
"2331201",0,-1.006581
"2331301",1,-.7516018
"2331401",1,.9236366
"2342101",0,-.1324209
"2343101",0,.3935491
"2343201",1,-.3868745
"2343301",0,-.5857418
"2414101",1,.1785587
"2414201",0,-.0073285
"2414301",1,-.0474257
"2425101",0,-.4030149
"2425301",1,-.2305779
"2430101",0,1.156501
"2430201",1,1.136306
"2430301",0,1.145789
"2436101",1,-.6575812
"2436201",0,-.4299343
"2436301",1,.2336507
"2436401",1,-1.026095
"2445101",0,-.3969704
"2445201",0,-.2034816
"2445301",1,-.1992929
"2512101",0,.1959687
"2512301",1,-.232329
"2512401",0,.0046535
"2531101",1,.528549
"2542101",0,.2393099
"2542201",1,-1.044303
"2543101",1,-.6588256
"2543301",0,-.252188
"2634101",0,.0548554
"2634201",0,-.2529821
"2634301",0,.2744325
"2634401",0,.1203996
"2634501",1,-.0654218
"2646101",1,.0713313
"2646201",0,-.2310627
"2646301",1,.5225794
"2646401",1,.6635733
"2646501",0,-.5815088
"2646601",0,.3120761
"2650201",1,-1.127865
"2650301",0,-.7427474
"2650401",1,.3074015
"2650501",1,-.7896604
"2716101",0,.2536436
"2716201",1,.8600986
"2716301",0,-.0194008
"2717101",1,.3732
"2717201",0,.8522928
"2724101",1,-.0648899
"2724201",1,-1.115347
"2724301",1,-1.115347
"2724401",1,-.8353727
"2724501",0,-.7717941
"2724601",0,.0876892
"2741101",0,-.981648
"2741201",1,.1981618
"3114101",1,.3040999
"3114201",0,.1950731
"3114301",1,.0009852
"3125101",0,-.6643461
"3125201",0,-.191751
"3125301",1,-.8279493
"3130101",0,1.544776
"3130301",1,-1.093064
"3130401",0,.9225549
"3130501",0,-1.045656
"3132101",1,.1198038
"3136101",1,-.1812243
"3136201",1,.112367
"3214101",0,.2776251
"3230101",1,.4322093
"3236101",1,.088296
"3316101",1,-.9958242
"3316301",0,.5600734
"3317101",1,-.2219908
"3317201",0,.5236951
"3324101",1,.3000078
"3324201",0,.2321641
"3324301",0,.095111
"3324401",1,.7468354
"3335101",0,.0505617
"3335201",1,-.9843143
"3335301",1,.0022281
"3335302",0,-.5407298
"3339101",1,.1274064
"3341101",0,-.6673806
"3341201",0,-.4668711
"3341301",1,-.8174964
"3416101",0,-.8934784
"3417101",1,.2889517
"3429101",0,-.8968397
"3429201",0,-.1063606
"3435101",1,-1.016257
"3435201",1,-.5104095
"3435301",0,-1.005205
"3435302",1,-1.048498
"3435401",0,.0360867
"3441101",0,-.0296988
"3441201",1,-.0323192
"3516101",0,.3118902
"3516201",0,.5461845
"3516301",1,.4449287
"3516401",1,.2396947
"3517101",0,-.5730129
"3524101",0,.7948202
"3524201",0,.2087298
"3524302",0,.7635608
"3535101",1,-.3607242
"3535201",1,.1463391
"3535401",1,-.0257543
"3539101",0,.0432538
"3539201",1,-.0964519
"3541101",0,-.0586509
"3541201",1,-.6552513
"3541301",1,-.8972431
"3616101",0,1.356352
"3616201",0,.6951993
"3616301",1,.6035226
"3617101",1,.4414847
"3617201",0,-1.066326
"3617301",0,.4320174
"3624101",1,-.4508269
"3624201",1,-.7856392
"3624301",1,-.4705161
"3639101",0,1.053345
"3639201",0,.2760987
"3639301",1,.6941788
"3639401",1,-.3809297
"3641101",0,.0221485
"3641201",0,-1.115347
"3641301",1,-.8685033
"3716101",1,-.0531934
"3716201",0,-.5940931
"3716301",1,-.9654647
"3717101",0,-.3790137
"3717201",0,.2804919
"3717301",1,.1672165
"3724101",1,-.5761188
"3724201",1,-.8446379
"3724301",1,-.4665859
"3739101",1,-1.003931
"3739201",0,-1.048498
"3739301",0,-1.003931
"3739401",0,-.936135
"3741101",0,-.1578708
"3741201",1,-.9053259
"3741301",0,-.1859131
"3816101",1,-.9786273
"3816201",0,.0855163
"3816301",0,-.6481852
"3817101",0,-1.051709
"3817201",0,-.4282548
"3824101",1,.0048696
