c_totalscore_qmat,c_totalscore_bug,c_totalscore_m,c_totalscore_v,c_totalscore_animal,c_totalscore_rvs,c_totalscore_qpns,c_totalscore_asm,c_totalscore_ask,c_totalscore_mot,c_totalscore_bp,c_totalscore_col,c_totalscore_cbnr,c_totalscore_act,c_totalscore_alpha,c_totalscore_prob,c_totalscore_copy,c_totalscore_pan,id_child,treatment,endline,age,c_totalscore_all
2,3,1,0,12,8,1,.2,.40000001,-1.1245514,2,0,1,3,0,0,1,3,1013101,1,0,46.56667,-2.546268
1,29,11,17,10,7,6,1,.2,.00880358,,8,5,12,24,7,15,6,1013101,1,1,68.2,.2044437
3,14,2,0,10,8,5,.40000001,.2,-.71807653,7,2,1,9,4,4,5,5,1013201,1,0,50.06667,-1.291701
5,34,14,18,34,9,10,2,1.2,-.7225014,,8,6,10,44,5,15,8,1013201,1,1,71.73333,1.016494
4,14,2,0,14,4,6,.2,.2,-.30204603,5,2,2,6,5,2,1,4,1018101,0,0,51.6,-1.616315
5,25,13,5,29,10,6,1.2,.60000002,.5425483,,6,4,10,10,3,16,8,1018101,0,1,62.43333,.1572646
4,8,1,0,6,2,5,.2,.2,-.46948636,7,2,1,3,0,3,4,4,1018201,1,0,42.7,-2.049007
4,25,20,6,23,9,6,2,1.6,.37056169,,8,8,9,37,2,13,4,1018201,1,1,64.36667,.4147453
5,14,3,6,6,9,6,.2,.2,.81753361,5,1,4,9,31,3,8,6,1018301,0,0,48.23333,-.9061206
7,23,12,9,39,10,7,2,1.8,.97523963,,5,5,10,40,6,17,6,1018301,0,1,70,.9978202
6,18,5,12,16,6,2,.40000001,.2,-.00908032,5,6,5,7,8,4,10,1,1023101,0,0,47.76667,-.9522895
4,28,12,0,18,13,6,2,1.2,.41148525,,4,8,9,36,3,16,5,1023101,0,1,69.9,.2251391
5,18,3,2,6,8,5,.2,.2,.23503998,5,2,2,9,12,6,7,3,1023201,1,0,-99,-1.11356
4,18,5,8,17,9,8,1.2,1.2,-.43642926,,4,5,10,33,9,17,9,1023201,1,1,74.93333,.2854575
3,13,6,0,9,1,5,.40000001,.40000001,-.21329495,4,2,1,9,7,1,0,0,1023202,1,0,42.73333,-1.658333
4,27,12,16,19,9,7,2,1.2,-.21153736,,4,5,9,34,5,16,4,1023202,1,1,64.4,.2002338
0,2,3,1,2,2,6,.2,.2,.46401271,6,2,2,12,9,6,5,6,1044101,0,0,-99,-1.259376
