id_child,id_guardian,p_b11_high_edu
1013101,"p_V6_111Belgaum",10
1013201,"p_V6_174Belgaum",10
1018101,"p_V7_279Belgaum",10
1018201,"p_V6_128Belgaum",10
1018301,"p_V6_118Belgaum",10
1023101,"p_V6_172Belgaum",10
1023201,"p_V8_111Belgaum",10
1023202,"p_V6_127Belgaum",10
1044101,"p_V6_254Belgaum",10
1044201,"p_V6_171Belgaum",10
1047101,"p_V6_173Belgaum",10
1047202,"p_V6_253Belgaum",10
1047301,"p_V6_110Belgaum",10
1047401,"p_V6_113Belgaum",10
1213101,"p_V6_201Belgaum",10
1213301,"p_V6_31Belgaum",10
1213401,"p_V6_125Belgaum",10
1221101,"p_V6_39Belgaum",10
1221201,"p_V6_202Belgaum",10
1221301,"p_V6_167Belgaum",10
1222101,"p_V6_34Belgaum",10
1223101,"p_V6_37Belgaum",10
1223301,"p_V6_38Belgaum",10
1244101,"p_V6_33Belgaum",10
1244201,"p_V6_32Belgaum",10
1244301,"p_V6_36Belgaum",10
1244401,"p_V6_168Belgaum",10
1247101,"p_V6_126Belgaum",10
1313301,"p_V6_204Belgaum",10
1318301,"p_V7_40Belgaum",10
1318401,"p_V7_39Belgaum",10
1321301,"p_V6_203Belgaum",10
1323301,"p_V6_206Belgaum",10
1344101,"p_V6_205Belgaum",10
1344201,"p_V6_199Belgaum",10
1344301,"p_V7_37Belgaum",10
1347201,"p_V6_200Belgaum",10
1413101,"p_V7_92Belgaum",10
1413201,"p_V8_110Belgaum",10
1418101,"p_V7_91Belgaum",10
1418201,"p_V7_232Belgaum",10
1418301,"p_V7_158Belgaum",10
1418501,"p_V7_145Belgaum",10
1421101,"p_V7_64Belgaum",10
1421201,"p_V8_126Belgaum",10
1423101,"p_V7_95Belgaum",10
1423201,"p_V7_280Belgaum",10
1423301,"p_V7_94Belgaum",10
1444101,"p_V7_238Belgaum",10
1444201,"p_V7_63Belgaum",10
1444301,"p_V7_233Belgaum",10
1447101,"p_V7_144Belgaum",10
1447201,"p_V7_93Belgaum",10
1513201,"p_V7_19Belgaum",10
1518101,"p_V7_20Belgaum",10
1544101,"p_V6_249Belgaum",10
