id_child,endline,respondent,gender,hoursworked,prim_type,edu
1013101,0,0,"Male",0,"Private",1
1013101,0,1,"Female",0,"Private",1
1013101,1,0,"Male",,-99,
1013101,1,1,"Female",0,-99,
1013201,0,0,"Male",48,"Public",1
1013201,0,1,"Female",0,"Public",1
1013201,1,0,"Female",0,-99,
1013201,1,1,"Male",20,-99,
1018101,0,0,"Female",48,"Private",0
1018101,0,1,"Male",48,"Private",0
1018101,1,0,"Male",60,-99,
1018101,1,1,"Female",48,-99,
1018201,0,0,"Male",48,"Private",2
1018201,0,1,"Female",0,"Private",10
1018201,1,0,"Male",60,-99,
1018201,1,1,"Female",0,-99,
1018301,0,0,"Female",70,"Private",0
1018301,0,1,"Male",0,"Private",0
1018301,1,0,"Male",24,-99,
1018301,1,1,"Female",0,-99,
1023101,0,0,"Male",12,"Private",10
1023101,0,1,"Female",12,"Private",10
1023101,1,0,"Female",18,-99,
1023101,1,1,"Male",72,-99,
1023201,0,0,"Male",48,"Public",7
1023201,0,1,"Female",48,"Public",4
1023201,1,0,"Male",56,-99,
1023201,1,1,"Female",56,-99,
1023202,0,0,"Female",0,"Private",0
1023202,0,1,"Male",60,"Private",0
1023202,1,0,"Male",77,-99,
1023202,1,1,"Female",21,-99,
1044101,0,0,"Female",300,"Public",0
1044101,0,1,"Male",300,"Public",0
1044101,1,0,"Female",30,-99,
1044101,1,1,"Male",60,-99,
1044201,0,0,"Male",63,"Public",1
1044201,0,1,"Female",63,"Public",6
1044201,1,0,"Male",30,-99,
1044201,1,1,"Female",48,-99,
1047101,0,0,"Male",42,"Public",10
1047101,0,1,"Female",22,"Public",9
1047101,1,0,"Male",48,-99,
1047101,1,1,"Female",40,-99,
1047202,0,0,"Female",12,"Public",0
1047202,0,1,"Male",56,"Public",0
1047202,1,0,"Female",0,-99,
1047202,1,1,"Male",70,-99,
1047301,0,0,"Female",56,"Public",0
1047301,0,1,"Male",42,"Public",0
1047301,1,0,"Male",56,-99,
1047301,1,1,"Female",42,-99,
1047401,0,0,"Female",20,"Private",0
1047401,0,1,"Male",56,"Private",0
1047401,1,0,"Female",56,-99,
1047401,1,1,"Male",42,-99,
1213101,0,0,"Male",42,"Public",12
1213101,0,1,"Female",42,"Public",10
1213101,1,0,"Male",64,-99,
1213101,1,1,"Female",0,-99,
1213301,0,0,"Male",140,"Public",7
1213301,0,1,"Female",140,"Public",7
1213301,1,0,"Male",70,-99,
1213301,1,1,"Female",0,-99,
1213401,0,0,"Male",378,"Public",9
1213401,0,1,"Female",378,"Public",10
1213401,1,0,"Male",12,-99,
1213401,1,1,"Female",14,-99,
1221101,0,0,"Male",24,"Private",10
